hotel_name,review_id,attribute,star_value
"The Envoy Hotel, Autograph Collection",review_424348296,Value,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_424348296,Cleanliness,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_424348296,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_423924855,Value,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_423924855,Cleanliness,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_423924855,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_423211758,Value,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_423211758,Rooms,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_423211758,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_422967346,Value,4 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_422967346,Location,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_422967346,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_422541646,Location,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_422541646,Sleep Quality,3 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_422541646,Service,3 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_421861304,Value,3 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_421861304,Rooms,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_421861304,Service,3 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_420591452,Location,2 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_420591452,Rooms,1 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_420591452,Service,1 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_420248332,Value,4 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_420248332,Rooms,4 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_420248332,Service,4 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_419904108,Value,2 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_419904108,Sleep Quality,4 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_419904108,Service,2 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_419206085,Location,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_419206085,Sleep Quality,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_419206085,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_419090522,Value,2 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_419090522,Rooms,3 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_419090522,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_416120463,Value,4 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_416120463,Location,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_416120463,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_415243330,Value,1 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_415243330,Sleep Quality,1 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_415243330,Service,2 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_413883327,Value,3 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_413883327,Location,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_413883327,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_412413266,Rooms,4 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_412413266,Cleanliness,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_412413266,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_412026487,Value,4 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_412026487,Rooms,4 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_412026487,Service,4 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_410169053,Sleep Quality,4 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_410169053,Rooms,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_410169053,Service,4 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_406906452,Location,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_406906452,Sleep Quality,4 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_406906452,Service,3 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_406829113,Sleep Quality,1 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_406829113,Rooms,3 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_406829113,Service,1 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_406732299,Value,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_406732299,Cleanliness,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_406732299,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_405055977,Location,4 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_405055977,Cleanliness,4 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_405055977,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_404595950,Location,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_404595950,Rooms,4 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_404595950,Service,4 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_404431068,Location,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_404431068,Cleanliness,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_404431068,Service,4 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_404128599,Location,4 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_404128599,Sleep Quality,3 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_404128599,Service,3 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_403003559,Location,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_403003559,Cleanliness,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_403003559,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_402231068,Location,3 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_402231068,Rooms,3 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_402231068,Service,2 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_401954388,Location,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_401954388,Rooms,4 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_401954388,Service,2 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_401751724,Value,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_401751724,Cleanliness,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_401751724,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_401496899,Value,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_401496899,Rooms,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_401496899,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_400455568,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_400133794,Rooms,4 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_400133794,Cleanliness,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_400133794,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_399817173,Value,2 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_399817173,Sleep Quality,3 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_399817173,Service,2 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_398814596,Value,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_398814596,Sleep Quality,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_398814596,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_398170086,Value,4 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_398170086,Sleep Quality,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_398170086,Service,4 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_396194798,Location,4 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_396194798,Sleep Quality,4 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_396194798,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_394924781,Value,3 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_394924781,Cleanliness,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_394924781,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_394834052,Value,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_394834052,Rooms,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_394834052,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_394773320,Value,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_394773320,Cleanliness,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_394773320,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_394475888,Location,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_394475888,Rooms,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_394475888,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_393274082,Sleep Quality,3 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_393274082,Rooms,4 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_393274082,Service,3 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_393016290,Sleep Quality,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_393016290,Rooms,3 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_393016290,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_392568048,Sleep Quality,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_392568048,Cleanliness,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_392568048,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_392366523,Value,3 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_392366523,Sleep Quality,4 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_392366523,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_392320409,Value,4 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_392320409,Sleep Quality,4 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_392320409,Service,4 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_392289924,Value,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_392289924,Cleanliness,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_392289924,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_392106332,Value,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_392106332,Rooms,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_392106332,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_389927242,Location,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_389927242,Sleep Quality,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_389927242,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_389250423,Sleep Quality,4 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_389250423,Rooms,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_389250423,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_387571331,Value,4 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_387571331,Sleep Quality,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_387571331,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_386960648,Sleep Quality,4 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_386960648,Rooms,3 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_386960648,Service,4 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_386699206,Sleep Quality,4 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_386699206,Rooms,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_386699206,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_386654714,Rooms,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_386654714,Cleanliness,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_386654714,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_384352040,Value,4 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_384352040,Location,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_384352040,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_384086213,Value,4 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_384086213,Cleanliness,3 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_384086213,Service,4 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_383560449,Location,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_383560449,Cleanliness,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_383560449,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_383120504,Rooms,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_383120504,Cleanliness,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_383120504,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_382602975,Location,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_382602975,Rooms,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_382602975,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_382572881,Value,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_382572881,Cleanliness,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_382572881,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_381591508,Value,3 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_381591508,Location,4 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_381591508,Service,2 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_381396864,Location,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_381396864,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_380531611,Location,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_380531611,Cleanliness,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_380531611,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_379455496,Location,1 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_379455496,Cleanliness,4 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_379455496,Service,1 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_379366115,Location,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_379366115,Sleep Quality,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_379366115,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_379052989,Value,4 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_379052989,Location,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_379052989,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_378666772,Value,4 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_378666772,Sleep Quality,4 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_378666772,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_376262594,Location,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_376262594,Sleep Quality,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_376262594,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_375636880,Location,4 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_375636880,Sleep Quality,4 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_375636880,Service,4 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_374540614,Location,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_374540614,Rooms,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_374540614,Service,4 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_374484281,Location,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_374484281,Sleep Quality,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_374484281,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_373781849,Location,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_373781849,Cleanliness,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_373781849,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_371862551,Value,4 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_371862551,Sleep Quality,4 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_371862551,Service,4 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_370383247,Location,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_370383247,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_368914605,Sleep Quality,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_368914605,Cleanliness,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_368914605,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_368790025,Location,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_368790025,Sleep Quality,4 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_368790025,Service,3 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_365396041,Location,4 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_365396041,Sleep Quality,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_365396041,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_363432496,Rooms,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_363432496,Cleanliness,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_363432496,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_362771363,Value,4 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_362771363,Sleep Quality,4 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_362771363,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_362628495,Location,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_362628495,Sleep Quality,4 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_362628495,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_362161489,Rooms,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_362161489,Cleanliness,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_362161489,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_360699525,Value,4 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_360699525,Sleep Quality,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_360699525,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_358104991,Sleep Quality,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_358104991,Rooms,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_358104991,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_357549171,Sleep Quality,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_357549171,Rooms,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_357549171,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_357441536,Value,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_357441536,Sleep Quality,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_357441536,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_353635162,Location,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_353635162,Sleep Quality,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_353635162,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_352674540,Rooms,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_352674540,Cleanliness,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_352674540,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_349818873,Sleep Quality,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_349818873,Cleanliness,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_349818873,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_349239685,Location,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_349239685,Rooms,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_349239685,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_347769202,Value,4 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_347769202,Cleanliness,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_347769202,Service,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_346738697,Value,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_346738697,Rooms,5 of 5 bubbles
,,,
"The Envoy Hotel, Autograph Collection",review_346738697,Service,5 of 5 bubbles
