,Race,Gender,Year,JobType
39105,White,Women,2007,Semi-Skilled
32365,White,Women,2015,Semi-Skilled
65270,White,Women,2015,Semi-Skilled
6577,Minority,Women,2015,Skilled
53734,White,Men,2015,Unskilled
3127,Minority,Women,2015,Skilled
38329,White,Women,2007,Semi-Skilled
71360,White,Men,2015,Unskilled
42097,Minority,Men,2007,Unskilled
4192,White,Men,2007,Skilled
52081,Minority,Women,2015,Unskilled
14578,Minority,Women,2007,Semi-Skilled
21748,Minority,Men,2007,Unskilled
37230,White,Women,2007,Semi-Skilled
10385,Minority,Men,2015,Semi-Skilled
16983,Minority,Men,2015,Semi-Skilled
30414,Minority,Men,2015,Semi-Skilled
71297,White,Men,2015,Unskilled
34209,Minority,Men,2007,Unskilled
28589,White,Men,2015,Semi-Skilled
33635,Minority,Men,2007,Unskilled
66844,White,Men,2007,Unskilled
28624,Minority,Men,2015,Semi-Skilled
28888,Minority,Men,2015,Semi-Skilled
30695,White,Men,2015,Semi-Skilled
67973,White,Men,2007,Unskilled
44748,Minority,Women,2007,Unskilled
45865,White,Women,2015,Semi-Skilled
15820,Minority,Women,2007,Semi-Skilled
10384,Minority,Men,2015,Semi-Skilled
33707,White,Women,2015,Semi-Skilled
28786,White,Men,2015,Semi-Skilled
75506,White,Women,2007,Unskilled
81733,White,Women,2015,Unskilled
32696,Minority,Men,2007,Unskilled
52101,White,Men,2015,Unskilled
53209,White,Men,2015,Unskilled
50387,White,Men,2007,Unskilled
584,White,Men,2007,Skilled
7550,White,Women,2007,Skilled
9378,White,Men,2015,Skilled
27462,White,Women,2007,Semi-Skilled
28905,Minority,Men,2015,Semi-Skilled
55540,White,Men,2007,Semi-Skilled
30529,White,Men,2015,Semi-Skilled
20175,White,Women,2015,Skilled
42214,White,Men,2015,Semi-Skilled
68673,White,Women,2007,Unskilled
36043,White,Women,2007,Semi-Skilled
40405,Minority,Men,2007,Unskilled
41999,White,Men,2015,Semi-Skilled
21979,White,Men,2007,Semi-Skilled
37306,White,Women,2007,Semi-Skilled
29214,White,Men,2015,Semi-Skilled
77361,White,Women,2007,Unskilled
83624,White,Women,2015,Unskilled
27515,White,Women,2007,Semi-Skilled
38846,White,Women,2007,Semi-Skilled
23450,Minority,Men,2015,Unskilled
28920,White,Men,2015,Semi-Skilled
36404,White,Women,2007,Semi-Skilled
17483,Minority,Men,2015,Semi-Skilled
77304,White,Women,2007,Unskilled
47035,Minority,Men,2015,Unskilled
9762,Minority,Men,2015,Semi-Skilled
16956,Minority,Men,2015,Semi-Skilled
6603,Minority,Women,2015,Skilled
8563,Minority,Women,2007,Semi-Skilled
22480,Minority,Men,2007,Unskilled
80148,White,Men,2015,Unskilled
42421,Minority,Women,2007,Unskilled
9957,White,Men,2015,Skilled
537,White,Men,2007,Skilled
23782,Minority,Men,2015,Unskilled
8474,Minority,Women,2007,Semi-Skilled
43398,Minority,Women,2007,Unskilled
80835,White,Women,2015,Unskilled
453,White,Men,2007,Skilled
79072,White,Men,2015,Unskilled
30146,Minority,Men,2015,Semi-Skilled
51473,Minority,Women,2015,Unskilled
7261,White,Women,2007,Skilled
78790,White,Men,2015,Unskilled
51421,Minority,Women,2015,Unskilled
78617,White,Men,2015,Unskilled
56571,White,Men,2007,Semi-Skilled
37283,Minority,Men,2015,Unskilled
18666,Minority,Women,2015,Semi-Skilled
13138,White,Women,2015,Skilled
83630,White,Women,2015,Unskilled
24431,White,Women,2007,Semi-Skilled
30158,Minority,Men,2015,Semi-Skilled
52320,Minority,Women,2015,Unskilled
38439,Minority,Women,2015,Unskilled
29898,White,Men,2015,Semi-Skilled
7958,Minority,Women,2007,Semi-Skilled
17201,Minority,Men,2015,Semi-Skilled
44690,Minority,Women,2007,Unskilled
33042,White,Women,2015,Semi-Skilled
3216,White,Men,2007,Skilled
18519,White,Men,2015,Skilled
53876,White,Men,2015,Unskilled
6192,White,Men,2007,Skilled
82537,White,Women,2015,Unskilled
32267,White,Women,2015,Semi-Skilled
45150,White,Women,2015,Semi-Skilled
52682,White,Men,2015,Unskilled
3710,Minority,Men,2007,Skilled
7508,Minority,Men,2007,Semi-Skilled
74010,White,Men,2007,Unskilled
42362,Minority,Women,2007,Unskilled
53434,White,Men,2015,Unskilled
43776,Minority,Women,2007,Unskilled
49042,Minority,Women,2015,Unskilled
9758,Minority,Men,2015,Semi-Skilled
52257,Minority,Women,2015,Unskilled
13519,White,Women,2015,Skilled
49521,Minority,Women,2015,Unskilled
8554,White,Men,2015,Skilled
1449,Minority,Women,2007,Skilled
15657,White,Men,2007,Skilled
73524,White,Men,2007,Unskilled
79869,White,Men,2015,Unskilled
30071,Minority,Men,2015,Semi-Skilled
52407,White,Men,2015,Unskilled
51667,Minority,Women,2015,Unskilled
1902,White,Men,2015,Skilled
12413,Minority,Women,2015,Semi-Skilled
8141,White,Women,2007,Skilled
47860,Minority,Men,2015,Unskilled
64649,White,Men,2015,Semi-Skilled
250,White,Men,2007,Skilled
31092,White,Women,2015,Semi-Skilled
1894,White,Men,2015,Skilled
45368,White,Women,2015,Semi-Skilled
48334,White,Men,2007,Unskilled
1448,White,Men,2015,Skilled
35585,White,Women,2007,Semi-Skilled
71638,White,Women,2015,Unskilled
64008,White,Men,2015,Semi-Skilled
45468,Minority,Women,2007,Unskilled
31054,Minority,Women,2015,Semi-Skilled
51435,Minority,Women,2015,Unskilled
2838,Minority,Men,2015,Skilled
26802,White,Women,2007,Semi-Skilled
29049,White,Men,2015,Semi-Skilled
43886,White,Women,2015,Semi-Skilled
81067,White,Women,2015,Unskilled
8487,White,Men,2015,Skilled
50437,White,Men,2007,Unskilled
45181,Minority,Women,2007,Unskilled
34705,Minority,Women,2007,Unskilled
40230,White,Women,2007,Semi-Skilled
2815,Minority,Men,2015,Skilled
36421,White,Women,2007,Semi-Skilled
51248,White,Men,2007,Unskilled
74637,White,Women,2007,Unskilled
7774,Minority,Men,2007,Semi-Skilled
21134,White,Women,2015,Skilled
76627,White,Women,2007,Unskilled
49959,White,Men,2007,Unskilled
45706,White,Women,2015,Semi-Skilled
4625,Minority,Women,2007,Skilled
1459,White,Men,2015,Skilled
38261,White,Women,2007,Semi-Skilled
683,Minority,Men,2007,Skilled
82801,White,Women,2015,Unskilled
1455,White,Men,2015,Skilled
11506,White,Men,2015,Skilled
31078,Minority,Women,2015,Semi-Skilled
60405,White,Women,2007,Semi-Skilled
13002,Minority,Women,2015,Semi-Skilled
42802,Minority,Women,2007,Unskilled
7404,White,Women,2007,Skilled
15973,Minority,Women,2007,Semi-Skilled
29011,White,Men,2015,Semi-Skilled
48496,White,Men,2007,Unskilled
59695,White,Women,2007,Semi-Skilled
40527,Minority,Men,2007,Unskilled
30211,White,Men,2015,Semi-Skilled
15329,Minority,Women,2007,Semi-Skilled
49596,Minority,Women,2015,Unskilled
12881,White,Women,2015,Skilled
2898,White,Men,2007,Skilled
49423,Minority,Women,2015,Unskilled
58015,White,Men,2007,Semi-Skilled
19253,White,Men,2015,Skilled
50394,White,Men,2007,Unskilled
69426,White,Men,2015,Unskilled
28900,Minority,Men,2015,Semi-Skilled
56811,White,Men,2007,Semi-Skilled
7177,Minority,Men,2007,Semi-Skilled
30344,White,Men,2015,Semi-Skilled
72994,White,Men,2007,Unskilled
74025,White,Men,2007,Unskilled
34882,White,Men,2007,Semi-Skilled
4212,Minority,Men,2007,Skilled
23139,Minority,Men,2015,Unskilled
42247,Minority,Women,2007,Unskilled
20733,White,Women,2015,Skilled
38032,White,Women,2007,Semi-Skilled
22668,White,Men,2007,Semi-Skilled
77016,White,Women,2007,Unskilled
15571,White,Men,2007,Skilled
50922,Minority,Women,2015,Unskilled
36720,Minority,Men,2015,Unskilled
16906,Minority,Men,2015,Semi-Skilled
35820,White,Women,2007,Semi-Skilled
10983,White,Men,2015,Skilled
70224,White,Men,2015,Unskilled
56544,White,Men,2007,Semi-Skilled
14759,White,Men,2007,Skilled
67923,White,Men,2007,Unskilled
38775,Minority,Women,2015,Unskilled
50561,White,Men,2007,Unskilled
22982,Minority,Men,2015,Unskilled
61416,White,Men,2015,Semi-Skilled
4953,White,Men,2007,Skilled
1710,Minority,Women,2007,Skilled
42990,Minority,Women,2007,Unskilled
42124,White,Men,2015,Semi-Skilled
65010,White,Men,2015,Semi-Skilled
45206,Minority,Women,2007,Unskilled
2404,White,Women,2015,Skilled
49669,White,Men,2007,Unskilled
9985,White,Men,2015,Skilled
73261,White,Men,2007,Unskilled
14991,White,Men,2007,Skilled
58291,White,Men,2007,Semi-Skilled
45758,Minority,Men,2015,Unskilled
64860,White,Men,2015,Semi-Skilled
7986,White,Women,2007,Skilled
82068,White,Women,2015,Unskilled
20301,Minority,Women,2015,Semi-Skilled
20730,White,Women,2015,Skilled
71849,White,Women,2015,Unskilled
17724,Minority,Men,2015,Semi-Skilled
10382,Minority,Men,2015,Semi-Skilled
61952,White,Men,2015,Semi-Skilled
12178,White,Men,2015,Skilled
36731,Minority,Men,2015,Unskilled
49342,Minority,Women,2015,Unskilled
35307,White,Men,2007,Semi-Skilled
47756,White,Women,2015,Semi-Skilled
7581,Minority,Men,2007,Semi-Skilled
6946,Minority,Men,2007,Semi-Skilled
12718,Minority,Women,2015,Semi-Skilled
22801,Minority,Men,2015,Unskilled
48236,White,Men,2007,Unskilled
6348,White,Women,2007,Skilled
8275,Minority,Women,2007,Semi-Skilled
48369,White,Men,2007,Unskilled
26322,Minority,Men,2007,Semi-Skilled
54728,White,Men,2015,Unskilled
3639,White,Men,2007,Skilled
25282,White,Women,2007,Semi-Skilled
63092,White,Men,2015,Semi-Skilled
305,White,Men,2007,Skilled
11572,Minority,Women,2015,Semi-Skilled
46756,White,Women,2015,Semi-Skilled
24841,White,Women,2007,Semi-Skilled
72533,White,Men,2007,Unskilled
73201,White,Men,2007,Unskilled
19463,Minority,Women,2015,Semi-Skilled
4045,White,Men,2007,Skilled
20829,White,Women,2015,Skilled
38966,White,Women,2007,Semi-Skilled
77701,White,Women,2007,Unskilled
9649,Minority,Women,2007,Semi-Skilled
33440,White,Women,2015,Semi-Skilled
40634,White,Women,2007,Semi-Skilled
9114,White,Men,2015,Skilled
10566,Minority,Men,2015,Semi-Skilled
3106,White,Men,2007,Skilled
33328,White,Women,2015,Semi-Skilled
9062,Minority,Women,2007,Semi-Skilled
80371,White,Men,2015,Unskilled
6817,White,Women,2007,Skilled
42883,White,Men,2015,Semi-Skilled
51187,Minority,Women,2015,Unskilled
31472,Minority,Women,2015,Semi-Skilled
79675,White,Men,2015,Unskilled
63428,White,Men,2015,Semi-Skilled
5653,White,Men,2007,Skilled
1525,White,Men,2015,Skilled
48460,Minority,Men,2015,Unskilled
36639,White,Women,2007,Semi-Skilled
41566,White,Men,2015,Semi-Skilled
11328,Minority,Women,2015,Semi-Skilled
17947,White,Women,2007,Skilled
3888,Minority,Men,2007,Skilled
48707,White,Men,2007,Unskilled
14561,White,Women,2015,Skilled
55304,White,Women,2015,Unskilled
6120,Minority,Women,2015,Skilled
19881,Minority,Women,2015,Semi-Skilled
71592,White,Women,2015,Unskilled
45687,White,Women,2015,Semi-Skilled
24908,White,Women,2007,Semi-Skilled
1482,White,Men,2015,Skilled
82083,White,Women,2015,Unskilled
11134,Minority,Women,2015,Semi-Skilled
82526,White,Women,2015,Unskilled
40808,Minority,Men,2007,Unskilled
4151,White,Men,2007,Skilled
68968,White,Women,2007,Unskilled
76732,White,Women,2007,Unskilled
41840,White,Men,2015,Semi-Skilled
60777,White,Women,2007,Semi-Skilled
37243,White,Women,2007,Semi-Skilled
36672,White,Women,2007,Semi-Skilled
61502,White,Men,2015,Semi-Skilled
32414,Minority,Men,2007,Unskilled
57126,White,Men,2007,Semi-Skilled
33414,Minority,Men,2007,Unskilled
2264,White,Women,2015,Skilled
12263,Minority,Women,2015,Semi-Skilled
41826,Minority,Men,2007,Unskilled
22381,White,Men,2007,Semi-Skilled
45498,Minority,Women,2007,Unskilled
27871,White,Men,2015,Semi-Skilled
78908,White,Men,2015,Unskilled
2968,Minority,Women,2015,Skilled
60437,White,Women,2007,Semi-Skilled
83643,White,Women,2015,Unskilled
12817,White,Women,2015,Skilled
1839,White,Men,2015,Skilled
5908,White,Men,2007,Skilled
28491,White,Men,2015,Semi-Skilled
5124,Minority,Men,2015,Skilled
7772,White,Women,2007,Skilled
49631,Minority,Women,2015,Unskilled
34555,White,Men,2007,Semi-Skilled
68010,White,Men,2007,Unskilled
10891,White,Men,2015,Skilled
2524,Minority,Men,2015,Skilled
77841,White,Women,2007,Unskilled
70986,White,Men,2015,Unskilled
3231,White,Men,2007,Skilled
39659,Minority,Men,2007,Unskilled
4172,White,Men,2007,Skilled
5785,Minority,Men,2015,Skilled
14443,Minority,Women,2007,Semi-Skilled
25852,White,Women,2007,Semi-Skilled
4038,White,Men,2007,Skilled
37557,Minority,Men,2015,Unskilled
42935,Minority,Women,2007,Unskilled
14835,White,Men,2007,Skilled
52556,Minority,Women,2015,Unskilled
63068,White,Men,2015,Semi-Skilled
66431,White,Men,2007,Unskilled
31908,Minority,Men,2007,Unskilled
49096,White,Men,2007,Unskilled
17374,Minority,Men,2015,Semi-Skilled
24034,Minority,Men,2015,Unskilled
34836,White,Men,2007,Semi-Skilled
59922,White,Women,2007,Semi-Skilled
69725,White,Men,2015,Unskilled
65886,White,Women,2015,Semi-Skilled
49319,Minority,Women,2015,Unskilled
28501,Minority,Men,2015,Semi-Skilled
41592,Minority,Men,2007,Unskilled
53490,White,Men,2015,Unskilled
2474,Minority,Men,2015,Skilled
28602,White,Men,2015,Semi-Skilled
37832,White,Women,2007,Semi-Skilled
434,White,Men,2007,Skilled
25701,White,Women,2007,Semi-Skilled
5438,Minority,Men,2015,Skilled
1955,Minority,Men,2015,Skilled
7753,White,Women,2007,Skilled
60403,White,Women,2007,Semi-Skilled
52587,White,Men,2015,Unskilled
57063,White,Men,2007,Semi-Skilled
33260,Minority,Men,2007,Unskilled
39583,White,Women,2007,Semi-Skilled
83803,White,Women,2015,Unskilled
46471,Minority,Men,2015,Unskilled
51105,Minority,Women,2015,Unskilled
31271,Minority,Women,2015,Semi-Skilled
31478,White,Women,2015,Semi-Skilled
40051,White,Women,2007,Semi-Skilled
25620,Minority,Men,2007,Semi-Skilled
17495,White,Women,2007,Skilled
84154,White,Women,2015,Unskilled
43550,White,Women,2015,Semi-Skilled
46781,Minority,Men,2015,Unskilled
36682,White,Women,2007,Semi-Skilled
29868,Minority,Men,2015,Semi-Skilled
51161,White,Men,2007,Unskilled
5071,Minority,Women,2007,Skilled
17299,Minority,Men,2015,Semi-Skilled
74277,White,Men,2007,Unskilled
45879,Minority,Men,2015,Unskilled
78538,White,Men,2015,Unskilled
47009,Minority,Men,2015,Unskilled
17370,Minority,Men,2015,Semi-Skilled
73570,White,Men,2007,Unskilled
7910,White,Women,2007,Skilled
18784,Minority,Women,2015,Semi-Skilled
23406,White,Men,2007,Semi-Skilled
35652,White,Women,2007,Semi-Skilled
69279,White,Women,2007,Unskilled
71832,White,Women,2015,Unskilled
8481,White,Men,2015,Skilled
639,Minority,Men,2007,Skilled
49952,White,Men,2007,Unskilled
82615,White,Women,2015,Unskilled
13091,White,Women,2015,Skilled
21881,Minority,Men,2007,Unskilled
29924,White,Men,2015,Semi-Skilled
36628,Minority,Men,2015,Unskilled
25011,Minority,Men,2007,Semi-Skilled
48653,White,Men,2007,Unskilled
11518,White,Men,2015,Skilled
29494,White,Men,2015,Semi-Skilled
37212,White,Women,2007,Semi-Skilled
11735,Minority,Women,2015,Semi-Skilled
33278,Minority,Men,2007,Unskilled
18627,Minority,Women,2015,Semi-Skilled
42101,White,Men,2015,Semi-Skilled
48713,Minority,Women,2015,Unskilled
64700,White,Men,2015,Semi-Skilled
6540,Minority,Women,2015,Skilled
26029,Minority,Men,2007,Semi-Skilled
41450,Minority,Men,2007,Unskilled
36180,White,Women,2007,Semi-Skilled
47055,Minority,Men,2015,Unskilled
22906,Minority,Men,2015,Unskilled
55114,White,Men,2015,Unskilled
104,Minority,Men,2007,Skilled
3967,White,Men,2007,Skilled
48967,White,Men,2007,Unskilled
15872,White,Men,2007,Skilled
18252,White,Men,2015,Skilled
15742,White,Men,2007,Skilled
79874,White,Men,2015,Unskilled
16774,Minority,Women,2007,Semi-Skilled
42439,White,Men,2015,Semi-Skilled
36320,Minority,Men,2015,Unskilled
33333,Minority,Men,2007,Unskilled
44491,White,Women,2015,Semi-Skilled
75995,White,Women,2007,Unskilled
29655,White,Men,2015,Semi-Skilled
25348,White,Women,2007,Semi-Skilled
10080,Minority,Men,2015,Semi-Skilled
6474,White,Women,2007,Skilled
64993,White,Men,2015,Semi-Skilled
43292,Minority,Women,2007,Unskilled
1939,Minority,Men,2015,Skilled
63743,White,Men,2015,Semi-Skilled
43649,White,Women,2015,Semi-Skilled
81404,White,Women,2015,Unskilled
5689,Minority,Men,2015,Skilled
32961,Minority,Men,2007,Unskilled
81196,White,Women,2015,Unskilled
64878,White,Men,2015,Semi-Skilled
21151,White,Women,2015,Skilled
54114,White,Men,2015,Unskilled
3779,White,Men,2007,Skilled
1738,Minority,Women,2007,Skilled
38306,Minority,Men,2015,Unskilled
75350,White,Women,2007,Unskilled
200,White,Men,2007,Skilled
77799,White,Women,2007,Unskilled
37772,Minority,Men,2015,Unskilled
24562,White,Women,2007,Semi-Skilled
38072,White,Women,2007,Semi-Skilled
72189,White,Men,2007,Unskilled
42686,Minority,Women,2007,Unskilled
26871,White,Women,2007,Semi-Skilled
77018,White,Women,2007,Unskilled
43484,Minority,Women,2007,Unskilled
28761,Minority,Men,2015,Semi-Skilled
34256,White,Men,2007,Semi-Skilled
79156,White,Men,2015,Unskilled
30223,Minority,Men,2015,Semi-Skilled
47175,White,Women,2015,Semi-Skilled
47546,Minority,Men,2015,Unskilled
71141,White,Men,2015,Unskilled
25441,Minority,Men,2007,Semi-Skilled
48032,White,Men,2007,Unskilled
72853,White,Men,2007,Unskilled
21993,Minority,Men,2007,Unskilled
1010,Minority,Men,2007,Skilled
9782,White,Men,2015,Skilled
30910,White,Women,2015,Semi-Skilled
40788,White,Women,2007,Semi-Skilled
47946,Minority,Men,2015,Unskilled
2437,Minority,Men,2015,Skilled
67575,White,Men,2007,Unskilled
67156,White,Men,2007,Unskilled
40234,White,Women,2007,Semi-Skilled
17416,Minority,Men,2015,Semi-Skilled
20564,White,Women,2015,Skilled
34787,Minority,Women,2007,Unskilled
15673,Minority,Women,2007,Semi-Skilled
61101,White,Men,2015,Semi-Skilled
16581,Minority,Women,2007,Semi-Skilled
10869,Minority,Men,2015,Semi-Skilled
65235,White,Women,2015,Semi-Skilled
45760,White,Women,2015,Semi-Skilled
8729,White,Men,2015,Skilled
49128,Minority,Women,2015,Unskilled
43359,Minority,Women,2007,Unskilled
71300,White,Men,2015,Unskilled
48597,Minority,Women,2015,Unskilled
28945,White,Men,2015,Semi-Skilled
45793,White,Women,2015,Semi-Skilled
2021,White,Men,2015,Skilled
53225,White,Men,2015,Unskilled
37860,White,Women,2007,Semi-Skilled
73418,White,Men,2007,Unskilled
28485,Minority,Men,2015,Semi-Skilled
40579,Minority,Men,2007,Unskilled
46787,Minority,Men,2015,Unskilled
41963,Minority,Men,2007,Unskilled
261,Minority,Men,2015,Skilled
48028,Minority,Men,2015,Unskilled
41485,Minority,Men,2007,Unskilled
20977,White,Women,2015,Skilled
13759,White,Women,2015,Skilled
28782,White,Men,2015,Semi-Skilled
39854,White,Women,2007,Semi-Skilled
51308,White,Men,2007,Unskilled
54935,White,Men,2015,Unskilled
51580,White,Men,2007,Unskilled
41407,White,Men,2015,Semi-Skilled
24786,Minority,Men,2007,Semi-Skilled
53414,White,Men,2015,Unskilled
29941,White,Men,2015,Semi-Skilled
3244,Minority,Women,2015,Skilled
2754,Minority,Men,2015,Skilled
5806,White,Men,2007,Skilled
9665,White,Men,2015,Skilled
63991,White,Men,2015,Semi-Skilled
22005,White,Men,2007,Semi-Skilled
32099,White,Women,2015,Semi-Skilled
3139,Minority,Women,2015,Skilled
49173,White,Men,2007,Unskilled
49113,White,Men,2007,Unskilled
1397,Minority,Women,2007,Skilled
56636,White,Men,2007,Semi-Skilled
43697,White,Women,2015,Semi-Skilled
4719,White,Men,2007,Skilled
59862,White,Women,2007,Semi-Skilled
69332,White,Women,2007,Unskilled
42193,Minority,Men,2007,Unskilled
17300,Minority,Men,2015,Semi-Skilled
39212,White,Women,2007,Semi-Skilled
66003,White,Women,2015,Semi-Skilled
24550,Minority,Men,2007,Semi-Skilled
23145,White,Men,2007,Semi-Skilled
46907,White,Women,2015,Semi-Skilled
61886,White,Men,2015,Semi-Skilled
47982,Minority,Men,2015,Unskilled
17173,White,Women,2007,Skilled
64255,White,Men,2015,Semi-Skilled
41961,White,Men,2015,Semi-Skilled
666,White,Men,2007,Skilled
21081,White,Women,2015,Skilled
14020,White,Women,2015,Skilled
49705,White,Men,2007,Unskilled
26548,White,Women,2007,Semi-Skilled
3451,White,Men,2007,Skilled
13585,Minority,Men,2007,Semi-Skilled
10670,Minority,Men,2015,Semi-Skilled
18294,White,Men,2015,Skilled
8273,White,Women,2007,Skilled
18242,White,Men,2015,Skilled
19695,White,Men,2015,Skilled
45287,Minority,Women,2007,Unskilled
63580,White,Men,2015,Semi-Skilled
50598,White,Men,2007,Unskilled
32546,Minority,Men,2007,Unskilled
56604,White,Men,2007,Semi-Skilled
84466,White,Women,2015,Unskilled
60029,White,Women,2007,Semi-Skilled
30571,White,Men,2015,Semi-Skilled
33063,Minority,Men,2007,Unskilled
33743,White,Women,2015,Semi-Skilled
27843,Minority,Women,2007,Semi-Skilled
10170,White,Men,2015,Skilled
55832,White,Men,2007,Semi-Skilled
8577,Minority,Women,2007,Semi-Skilled
31017,Minority,Women,2015,Semi-Skilled
73069,White,Men,2007,Unskilled
19054,Minority,Women,2015,Semi-Skilled
66815,White,Men,2007,Unskilled
22864,White,Men,2007,Semi-Skilled
12954,Minority,Women,2015,Semi-Skilled
23793,White,Men,2007,Semi-Skilled
42459,Minority,Women,2007,Unskilled
52182,White,Men,2015,Unskilled
19730,White,Women,2015,Skilled
43558,Minority,Women,2007,Unskilled
79361,White,Men,2015,Unskilled
36881,Minority,Men,2015,Unskilled
21395,Minority,Men,2007,Unskilled
3713,White,Men,2007,Skilled
18936,Minority,Women,2015,Semi-Skilled
66215,White,Men,2007,Unskilled
21242,Minority,Men,2007,Unskilled
22379,Minority,Men,2007,Unskilled
74806,White,Women,2007,Unskilled
46024,White,Women,2015,Semi-Skilled
26036,White,Women,2007,Semi-Skilled
56040,White,Men,2007,Semi-Skilled
10991,Minority,Men,2015,Semi-Skilled
69969,White,Men,2015,Unskilled
4250,White,Men,2007,Skilled
